CustomerID,Age,Gender,AnnualIncome,SpendingScore,MembershipLevel,Country,SignupDate
1,56.0,Male,58388.61,10.0,Silver,Germany,2021-02-20
2,69.0,Female,47721.04,62.0,Basic,Germany,2019-06-20
3,46.0,Female,56760.67,65.0,Silver,UK,2016-06-30
4,32.0,Male,51881.36,100.0,Gold,UK,2022-03-22
5,60.0,Male,76948.8,67.0,Basic,,2017-09-18
6,25.0,Male,34738.93,99.0,Silver,USA,2015-10-07
7,38.0,Female,73338.9,12.0,Basic,Germany,2018-08-26
8,,,,91.0,Basic,Canada,2022-09-03
9,,Male,68058.23,,Platinum,,2020-02-27
10,40.0,Male,47434.05,19.0,Silver,Germany,2017-10-23
11,28.0,Female,68494.83,74.0,Platinum,Germany,2022-06-21
12,28.0,Female,,43.0,Gold,France,2020-12-12
13,41.0,Female,38514.7,90.0,Platinum,UK,2015-06-05
14,53.0,Male,80379.28,8.0,Platinum,USA,2020-12-06
15,57.0,Female,71649.69,52.0,Gold,USA,2020-02-05
16,,Female,67547.63,2.0,Gold,Canada,2017-08-26
17,20.0,Male,50394.45,76.0,Gold,Germany,2016-07-27
18,39.0,Other,72166.27,39.0,Platinum,UK,2022-04-27
19,19.0,,40751.23,54.0,Platinum,UK,2018-02-23
20,41.0,Female,26585.31,40.0,Platinum,Canada,2022-01-26
21,61.0,Female,36565.11,95.0,Silver,Canada,2019-03-11
22,47.0,Male,46170.18,29.0,Gold,Germany,2017-05-12
23,55.0,Male,48677.45,72.0,Silver,USA,2021-03-30
24,19.0,,53477.35,15.0,Silver,USA,2022-04-01
25,38.0,Female,54143.5,26.0,Gold,France,2016-05-31
26,50.0,Male,50252.43,48.0,,USA,2015-07-09
27,29.0,Female,28255.28,100.0,Gold,Canada,2015-04-23
28,39.0,Male,62881.85,41.0,Gold,USA,2021-06-18
29,61.0,Female,56029.88,68.0,Silver,UK,2017-04-13
30,42.0,Female,49554.85,33.0,Silver,,2020-03-17
31,66.0,Female,80970.32,12.0,Basic,Australia,2020-03-22
32,44.0,Female,56367.52,50.0,Silver,Germany,2015-05-13
33,,Other,60877.98,75.0,Platinum,France,2021-07-21
34,45.0,Male,71937.75,94.0,Gold,USA,2015-12-07
35,33.0,Male,37652.09,53.0,Basic,France,2022-05-06
36,32.0,Male,59660.85,90.0,Silver,France,2018-05-02
37,64.0,Female,71888.22,50.0,Basic,Canada,2021-12-05
38,68.0,Male,58630.07,30.0,Basic,USA,2017-02-21
39,61.0,Female,40449.86,100.0,Silver,UK,2019-01-25
40,69.0,Male,52762.87,97.0,Basic,Germany,2016-06-03
41,20.0,Female,62834.8,31.0,Silver,USA,2016-03-04
42,54.0,Female,28396.83,2.0,Silver,Canada,2018-09-03
43,68.0,Female,39710.09,79.0,Basic,USA,2021-09-13
44,24.0,Female,89603.05,,Gold,Canada,2022-04-15
45,38.0,Male,67268.85,53.0,Gold,Canada,2019-08-13
46,26.0,Male,82252.06,76.0,Gold,UK,2022-06-29
47,56.0,Female,72994.77,82.0,Gold,Canada,2017-12-15
48,35.0,Male,65909.75,72.0,Basic,France,2016-01-27
49,21.0,Female,55363.81,67.0,Silver,UK,2015-11-23
50,42.0,Female,65718.21,99.0,Platinum,Australia,2018-05-28
51,31.0,Female,81749.46,56.0,Gold,France,2022-06-06
52,67.0,Male,72383.08,33.0,Silver,UK,2019-04-07
53,26.0,Female,62502.15,31.0,Silver,Germany,2015-08-08
54,43.0,Male,57414.79,68.0,Basic,Australia,2019-11-13
55,19.0,Male,67474.85,23.0,Basic,UK,2020-05-26
56,37.0,Male,52019.36,45.0,Basic,France,2022-10-21
57,45.0,Male,67477.12,35.0,Silver,Canada,2018-09-14
58,64.0,Male,49530.67,65.0,Gold,Canada,2019-01-23
59,24.0,Male,54691.19,3.0,Platinum,Canada,2016-08-11
60,61.0,Female,44584.42,10.0,Silver,UK,2020-11-16
61,25.0,Male,53403.55,94.0,,UK,2018-09-07
62,64.0,Female,49744.09,28.0,Basic,France,2017-10-14
63,52.0,Male,85378.73,80.0,Basic,Germany,2019-02-17
64,31.0,Male,46582.56,,Basic,Germany,2019-11-01
65,34.0,Female,65772.53,57.0,Basic,Australia,2018-05-07
66,53.0,Female,45796.77,68.0,Gold,Australia,2020-03-30
67,67.0,Male,60703.44,23.0,Basic,UK,2022-10-12
68,57.0,Male,64348.73,,Gold,USA,2018-05-22
69,21.0,Male,32233.44,50.0,Gold,Australia,2017-10-15
70,19.0,Male,39034.48,79.0,Basic,Australia,2015-03-23
71,23.0,Female,45679.9,77.0,Silver,UK,2016-09-11
72,59.0,Female,40451.45,1.0,Basic,UK,2018-12-14
73,21.0,Male,61261.28,24.0,Gold,Germany,2016-04-18
74,46.0,Female,63638.7,44.0,Gold,Germany,2018-06-26
75,35.0,Male,44053.92,65.0,Basic,France,2020-10-06
76,43.0,Female,,45.0,Basic,Australia,2016-02-22
77,61.0,Female,53638.82,77.0,Silver,USA,2018-07-29
78,51.0,Other,58507.86,38.0,Basic,Canada,2022-06-26
79,27.0,Female,50573.65,81.0,Gold,Germany,2018-04-01
80,53.0,Female,67314.85,56.0,Gold,USA,2017-07-29
81,31.0,Male,84523.94,51.0,Platinum,USA,2020-05-10
82,48.0,,71615.01,30.0,,,2021-06-05
83,65.0,Male,80900.86,84.0,Basic,,2021-12-19
84,32.0,Male,38957.63,5.0,Gold,Canada,2022-02-15
85,25.0,Female,49864.36,69.0,Basic,France,2016-11-26
86,31.0,Male,68478.54,37.0,Silver,USA,2015-02-15
87,40.0,Female,82624.41,80.0,Basic,Australia,2022-03-20
88,57.0,Female,69756.61,21.0,Silver,France,2020-11-30
89,38.0,Female,44606.64,98.0,Basic,Canada,2022-12-27
90,33.0,Female,53480.14,70.0,Silver,UK,2015-09-30
91,62.0,Male,65001.07,70.0,,Australia,2017-01-12
92,35.0,Other,57530.11,74.0,Silver,Germany,2019-09-30
93,64.0,Male,48018.41,95.0,,Canada,2016-09-15
94,41.0,Female,55646.18,6.0,Basic,France,2016-07-28
95,43.0,Female,59783.46,67.0,Gold,Germany,2017-05-16
96,42.0,Female,43726.18,44.0,Silver,UK,2019-06-26
